,,,,accelerometer,gyro,mag,d6t,1,2,3,4
magnetometer,4407.465,,,FALSE,FALSE,4407.465,FALSE,1,2,3,4
magnetometer,4451.224,,,FALSE,FALSE,4451.224,FALSE,1,2,3,4
accelerometer,4452.131,,,4452.131,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,4473.18,,,4473.18,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,4478.11,,,4478.11,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,4500.706,,,4500.706,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,4523.313,,,FALSE,FALSE,4523.313,FALSE,1,2,3,4
accelerometer,4534.255,,,4534.255,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,4544.799,,,4544.799,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,4562.308,,,4562.308,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,4605.962,,,FALSE,4605.962,FALSE,FALSE,1,2,3,4
D6T,4661.434,,,FALSE,FALSE,FALSE,4661.434,1,2,3,4
accelerometer,4710.113,,,4710.113,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,4710.975,,,FALSE,FALSE,4710.975,FALSE,1,2,3,4
accelerometer,4754.181,,,4754.181,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,4852.871,,,FALSE,4852.871,FALSE,FALSE,1,2,3,4
accelerometer,4854.054,,,4854.054,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,4897.082,,,FALSE,FALSE,4897.082,FALSE,1,2,3,4
gyroscope,4952.174,,,FALSE,4952.174,FALSE,FALSE,1,2,3,4
accelerometer,5012.492,,,5012.492,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,5023.894,,,FALSE,5023.894,FALSE,FALSE,1,2,3,4
gyroscope,5039.89,,,FALSE,5039.89,FALSE,FALSE,1,2,3,4
magnetometer,5051.002,,,FALSE,FALSE,5051.002,FALSE,1,2,3,4
magnetometer,5057.752,,,FALSE,FALSE,5057.752,FALSE,1,2,3,4
gyroscope,5171.524,,,FALSE,5171.524,FALSE,FALSE,1,2,3,4
accelerometer,5172.428,,,5172.428,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5209.29,,,5209.29,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5258.91,,,5258.91,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5271.723,,,5271.723,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,5288,,,FALSE,FALSE,5288,FALSE,1,2,3,4
accelerometer,5331.15,,,5331.15,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,5391.849,,,FALSE,FALSE,5391.849,FALSE,1,2,3,4
accelerometer,5424.068,,,5424.068,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,5485.675,,,FALSE,5485.675,FALSE,FALSE,1,2,3,4
accelerometer,5501.412,,,5501.412,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5502.003,,,5502.003,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5506.977,,,5506.977,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5507.28,,,5507.28,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,5545.334,,,FALSE,FALSE,5545.334,FALSE,1,2,3,4
magnetometer,5594.261,,,FALSE,FALSE,5594.261,FALSE,1,2,3,4
magnetometer,5686.737,,,FALSE,FALSE,5686.737,FALSE,1,2,3,4
gyroscope,5736.724,,,FALSE,5736.724,FALSE,FALSE,1,2,3,4
magnetometer,5798.117,,,FALSE,FALSE,5798.117,FALSE,1,2,3,4
gyroscope,5798.393,,,FALSE,5798.393,FALSE,FALSE,1,2,3,4
magnetometer,5840.668,,,FALSE,FALSE,5840.668,FALSE,1,2,3,4
accelerometer,5853.319,,,5853.319,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5863.524,,,5863.524,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5863.821,,,5863.821,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5901.655,,,5901.655,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,5902.55,,,FALSE,FALSE,5902.55,FALSE,1,2,3,4
accelerometer,5962.515,,,5962.515,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,5989.76,,,5989.76,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,6022.507,,,FALSE,FALSE,6022.507,FALSE,1,2,3,4
magnetometer,6023.09,,,FALSE,FALSE,6023.09,FALSE,1,2,3,4
D6T,6060.823,,,FALSE,FALSE,FALSE,6060.823,1,2,3,4
accelerometer,6088.845,,,6088.845,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,6127.093,,,6127.093,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,6128.009,,,6128.009,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,6187.639,,,6187.639,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,6199.02,,,6199.02,FALSE,FALSE,FALSE,1,2,3,4
